source_pdf,ประเภทเอกสาร,is_bch,หน่วยเลือกตั้งที่,หน่วยเลือกตั้งที่(ตัวเลขดิบ),หน่วยเลือกตั้งที่(ตัวอักษร),หน่วยเลือกตั้งที่_from_path,หน่วยเลือกตั้งที่_decision,หมู่ที่,หมู่ที่(ตัวเลขดิบ),หมู่ที่(ตัวอักษร),หมู่ที่_from_path,หมู่ที่_decision,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,จำนวนผู้มีสิทธิ,จำนวนผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,match_score_ตำบล,match_score_อำเภอ
ทต.แม่อาย/ตำบลมะลิกา/หน่วยเลือกตั้งที่ 14/สส. 5ทับ18.pdf,แบ่งเขต,False,14,14,,14,numeric_only,,,,,missing,ตำบลมะลิกา,ทต.แม่อาย,,,,,,100,100.0
ทต.แม่อาย/ตำบลมะลิกา/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,15,15,,15,numeric_only,4.0,4,,,numeric_only,ตำบลมะลิกา,ทต.แม่อาย,278.0,179.0,164.0,11.0,4.0,100,100.0
ทต.แม่อาย/ตำบลมะลิกา/หน่วยเลือกตั้งที่ 15/สส. 5ทับ18.pdf,แบ่งเขต,False,15,15,,15,numeric_only,4.0,4,,,numeric_only,ตำบลมะลิกา,ทต.แม่อาย,278.0,179.0,168.0,9.0,2.0,100,100.0
ทต.แม่อาย/ตำบลมะลิกา/หน่วยเลือกตั้งที่ 13/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,13,13,,13,numeric_only,2.0,2,,,numeric_only,ตำบลมะลิกา,ทต.แม่อาย,188.0,149.0,136.0,13.0,2.0,100,100.0
ทต.แม่อาย/ตำบลมะลิกา/หน่วยเลือกตั้งที่ 13/สส. 5ทับ18.pdf,แบ่งเขต,False,13,13,,13,numeric_only,2.0,2,,,numeric_only,ตำบลมะลิกา,ทต.แม่อาย,188.0,149.0,136.0,8.0,5.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,7.0,7,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,409.0,305.0,279.0,10.0,16.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,แบ่งเขต,False,7,7,,7,numeric_only,7.0,7,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,409.0,305.0,281.0,9.0,15.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,2,2,,6,numeric_only,3.0,3,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,223.0,188.0,171.0,13.0,3.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,แบ่งเขต,False,6,6,,6,numeric_only,6.0,6,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,622.0,445.0,398.0,23.0,24.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,803.0,460.0,410.0,32.0,18.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,แบ่งเขต,False,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,803.0,460.0,426.0,20.0,14.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,4.0,4,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,355.0,256.0,233.0,9.0,14.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,แบ่งเขต,False,4,4,,4,numeric_only,4.0,4,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,355.0,256.0,229.0,14.0,13.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,5,5,,5,numeric_only,5.0,5,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,502.0,338.0,339.0,13.0,13.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,8.0,8,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,508.0,338.0,320.0,8.0,8.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18.pdf,แบ่งเขต,False,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,435.0,328.0,307.0,7.0,14.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,435.0,328.0,305.0,12.0,11.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,1,1,หนึ่ง,1,numeric_text_agree,1.0,1,หนึ่ง,,numeric_text_agree,ตำบลโป่งน้ำร้อน,อำเภอฝาง,285.0,212.0,194.0,10.0,8.0,100,100.0
อำเภอฝาง/ตำบลโป่งน้ำร้อน/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลโป่งน้ำร้อน,อำเภอฝาง,285.0,212.0,201.0,8.0,3.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 9/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,4,4,,9,numeric_only,7.0,7,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,440.0,293.0,275.0,15.0,3.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 9/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 9).pdf,แบ่งเขต,False,1,1,,9,numeric_only,7.0,7,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,422.0,236.0,216.0,6.0,6.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 7/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,6.0,6,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,405.0,293.0,261.0,18.0,14.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 7/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 7).pdf,แบ่งเขต,False,7,7,,7,numeric_only,5.0,5,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,405.0,293.0,275.0,5.0,13.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 8/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,8,numeric_only,6.0,6,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,425.0,310.0,292.0,10.0,8.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 8/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 8).pdf,แบ่งเขต,False,8,8,แปด,8,numeric_text_agree,6.0,6,หก,,numeric_text_agree,ตำบลแม่สูน,อำเภอฝาง,425.0,310.0,290.0,13.0,7.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 6/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,6,6,,6,numeric_only,4.0,4,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,620.0,449.0,412.0,22.0,15.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 6/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 6).pdf,แบ่งเขต,False,6,6,,6,numeric_only,4.0,4,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,620.0,449.0,418.0,13.0,18.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 4/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,3.0,3,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,485.0,328.0,292.0,19.0,17.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 4/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 4).pdf,แบ่งเขต,False,4,4,,4,numeric_only,3.0,3,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,485.0,328.0,295.0,16.0,17.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 20/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,20,20,,20,numeric_only,16.0,16,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,393.0,280.0,242.0,10.0,28.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 20/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 20).pdf,แบ่งเขต,False,20,20,,20,numeric_only,16.0,16,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,373.0,280.0,246.0,16.0,18.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 5/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,5,5,,5,numeric_only,3.0,3,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,481.0,334.0,300.0,17.0,17.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 5/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 5).pdf,แบ่งเขต,False,8,8,,5,numeric_only,3.0,3,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,481.0,334.0,297.0,10.0,27.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 21/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,21,21,,21,numeric_only,17.0,17,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,386.0,280.0,268.0,7.0,5.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 21/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 21).pdf,แบ่งเขต,False,21,21,,21,numeric_only,17.0,17,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,386.0,280.0,263.0,4.0,13.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 3/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,3,numeric_only,8.0,8,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,775.0,447.0,390.0,36.0,21.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 3/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 3).pdf,แบ่งเขต,False,3,3,,3,numeric_only,2.0,2,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,575.0,447.0,406.0,21.0,20.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 17/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,17,17,,17,numeric_only,13.0,13,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,349.0,243.0,219.0,20.0,10.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 17/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 17).pdf,แบ่งเขต,False,17,17,,17,numeric_only,13.0,13,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,349.0,243.0,219.0,17.0,7.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 2/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,1.0,1,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,544.0,343.0,297.0,25.0,21.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 2/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 2).pdf,แบ่งเขต,False,2,2,,2,numeric_only,1.0,1,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,544.0,343.0,317.0,13.0,13.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 18/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,18,18,,18,numeric_only,14.0,14,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,473.0,343.0,322.0,16.0,5.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 18/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 18).pdf,แบ่งเขต,False,18,18,,18,numeric_only,14.0,14,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,473.0,343.0,324.0,9.0,10.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 19/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,19,19,,19,numeric_only,15.0,15,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,382.0,293.0,261.0,15.0,17.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 19/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 19).pdf,แบ่งเขต,False,19,19,,19,numeric_only,15.0,15,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,352.0,293.0,288.0,9.0,18.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 16/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,16,16,,16,numeric_only,12.0,12,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,394.0,283.0,266.0,9.0,8.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 16/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 16).pdf,แบ่งเขต,False,16,16,,16,numeric_only,12.0,12,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,394.0,283.0,271.0,6.0,6.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 12/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,12,12,,12,numeric_only,9.0,9,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,414.0,273.0,250.0,13.0,10.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 12/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 12).pdf,แบ่งเขต,False,12,12,,12,numeric_only,9.0,9,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,414.0,273.0,250.0,5.0,9.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 13/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,13,13,,13,numeric_only,9.0,9,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,427.0,285.0,263.0,15.0,7.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 13/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 13).pdf,แบ่งเขต,False,13,13,,13,numeric_only,9.0,9,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,421.0,285.0,269.0,9.0,7.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 14/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,14,14,,14,numeric_only,10.0,10,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,768.0,553.0,497.0,31.0,25.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 14/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 14).pdf,แบ่งเขต,False,14,14,,14,numeric_only,10.0,10,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,768.0,553.0,505.0,20.0,28.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 11/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,11,11,,11,numeric_only,9.0,9,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,119.0,96.0,92.0,3.0,1.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 11/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 11).pdf,แบ่งเขต,False,11,11,,11,numeric_only,8.0,8,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,120.0,96.0,92.0,2.0,2.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 15/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,15,15,,15,numeric_only,11.0,11,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,544.0,376.0,340.0,25.0,16.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 15/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 15).pdf,แบ่งเขต,False,15,15,,15,numeric_only,11.0,11,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,544.0,396.0,340.0,17.0,19.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 1/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,555.0,379.0,340.0,,,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 1/ส.ส. 5- 18 (แม่สูน หน่วยที่ 1).pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,555.0,375.0,352.0,10.0,14.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 10/สส. 5 ทับ 18 (บช).pdf,บัญชีรายชื่อ,True,10,10,,10,numeric_only,7.0,7,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,417.0,297.0,260.0,21.0,16.0,100,100.0
อำเภอฝาง/ตำบลแม่สูน/หน่วยเลือกตั้งที่ 10/ส.ส. 5 - 18 (แม่สูน หน่วยที่ 10).pdf,แบ่งเขต,False,10,10,,10,numeric_only,7.0,7,,,numeric_only,ตำบลแม่สูน,อำเภอฝาง,417.0,297.0,295.0,2.0,14.0,100,100.0
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 3/ส.ส. 5-18 (บช) ทต.บ้านแม่ข่า หน่วยเลือกตั้ง ที่ 3.pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,5.0,5,,,numeric_only,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,529.0,391.0,359.0,25.0,7.0,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 3/ส.ส.5-18(ทต.บ้านแม่ข่า หน่วยที่ 3).pdf,แบ่งเขต,False,3,3,,3,numeric_only,5.0,5,,,numeric_only,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,529.0,391.0,362.0,16.0,13.0,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,5.0,5,,,numeric_only,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,529.0,391.0,359.0,25.0,7.0,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 1/ส.ส. 5-18 (บช) ทต.บ้านแม่ข่า หน่วยเลือกตั้ง ที่ 1.pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,474.0,360.0,331.0,19.0,10.0,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 1/ส.ส.5-18(ทต.บ้านแม่ข่า หน่วยที่ 1).pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,474.0,360.0,333.0,12.0,15.0,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,474.0,360.0,331.0,19.0,10.0,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 2/ส.ส. 5-18 (บช) ทต.บ้านแม่ข่า หน่วยเลือกตั้ง ที่ 2.pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,,,,,missing,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,,,,,,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 2/ส.ส.5-18(ทต.บ้านแม่ข่า หน่วยที่ 2).pdf,แบ่งเขต,False,8,8,,2,numeric_only,5.0,5,,,numeric_only,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,523.0,390.0,370.0,10.0,10.0,100,63.63636363636363
อำเภอฝาง/ทต.บ้านแม่ข่า/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,,,,,missing,ทต.บ้านแม่ข่า,ทต.บ้านแม่ข่า,,110.0,84.0,26.0,,100,63.63636363636363
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 7/ส.ส. 5-18 (บช) แม่งอน หน่วยเลือกตั้ง ที่ 7.pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,4.0,4,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,,392.0,318.0,68.0,6.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 7/ส.ส.5-18 (แม่งอน หน่วยที่ 7).pdf,แบ่งเขต,False,7,7,,7,numeric_only,6.0,6,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,659.0,318.0,276.0,29.0,17.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 9/ส.ส. 5-18 (บช) แม่งอน หน่วยเลือกตั้ง ที่ 9.pdf,บัญชีรายชื่อ,True,8,8,,9,numeric_only,7.0,7,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,685.0,468.0,417.0,24.0,27.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 9/ส.ส.5-18 (แม่งอน หน่วยที่ 9).pdf,แบ่งเขต,False,14,14,,9,numeric_only,13.0,13,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,685.0,655.0,434.0,15.0,19.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 8/ส.ส. 5-18 (บช) แม่งอน หน่วยเลือกตั้ง ที่ 8.pdf,บัญชีรายชื่อ,True,8,8,,8,numeric_only,6.0,6,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,658.0,354.0,329.0,16.0,9.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 8/ส.ส.5-18 (แม่งอน หน่วยที่ 8).pdf,แบ่งเขต,False,8,8,,8,numeric_only,6.0,6,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,58.0,358.0,328.0,16.0,12.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 5/ส.ส. 5-18 (บช) แม่งอน หน่วยเลือกตั้ง ที่ 5.pdf,บัญชีรายชื่อ,True,5,5,,5,numeric_only,5.0,5,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,484.0,195.0,183.0,12.0,,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 5/ส.ส.5-18 (แม่งอน หน่วยที่ 5).pdf,แบ่งเขต,False,5,5,,5,numeric_only,5.0,5,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,484.0,195.0,190.0,5.0,,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 6/ส.ส. 5-18 (บช) แม่งอน หน่วยเลือกตั้ง ที่ 6.pdf,บัญชีรายชื่อ,True,6,6,,6,numeric_only,5.0,5,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,482.0,256.0,143.0,10.0,3.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 6/ส.ส.5-18 (แม่งอน หน่วยที่ 6).pdf,แบ่งเขต,False,6,6,,6,numeric_only,5.0,5,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,482.0,156.0,148.0,5.0,3.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 4/ส.ส. 5-18 (บช) แม่งอน หน่วยเลือกตั้ง ที่ 4.pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,,,,,missing,ตำบลแม่งอน,อำเภอฝาง,,,446.0,,,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 4/ส.ส.5-18 (แม่งอน หน่วยที่ 4).pdf,แบ่งเขต,False,4,4,,4,numeric_only,4.0,4,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,628.0,484.0,453.0,14.0,17.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 2/ส.ส. 5-18 (บช) แม่งอน หน่วยเลือกตั้ง ที่ 2.pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,661.0,491.0,444.0,29.0,18.0,100,100.0
อำเภอฝาง/ตำบลแม่งอน/หน่วยเลือกตั้งที่ 2/ส.ส.5-18 (แม่งอน หน่วยที่ 2).pdf,แบ่งเขต,False,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลแม่งอน,อำเภอฝาง,661.0,491.0,473.0,10.0,8.0,100,100.0
